**** The Simulator log: stage 2
0.0,OOP_Ex0_Elevator_Simulator
0.0,Simulated Building, ex0.simulator.Builging_A [-2,10]
0) ex0.simulator.Elevator_A, Elev_0, speed: 1.0, open/close: 2.0,  start/stop: 3.0
1) ex0.simulator.Elevator_A, Elev_1, speed: 1.0, open/close: 2.0,  start/stop: 3.0
0.0,Simulated Period starTime,0.0,  endTime,1000.0,  dt,1.0
0.0,Simulated  calls,Elevetor log, size: 100
0.0,**** Simulation starts!! ****
151.0, elevID,0,  pos,-2,  cmd, goto,-2
151.0, elevID,1,  pos,-2,  cmd, goto,-2
152.0, elevID,0,  pos,-2,  cmd, goto,-2
152.0, elevID,1,  pos,-2,  cmd, goto,-2
153.0, elevID,0,  pos,-2,  cmd, goto,-2
153.0, elevID,1,  pos,-2,  cmd, goto,-2
154.0, elevID,0,  pos,-2,  cmd, goto,-2
154.0, elevID,1,  pos,-2,  cmd, goto,-2
155.0, elevID,0,  pos,-2,  cmd, goto,-2
155.0, elevID,1,  pos,-2,  cmd, goto,-2
156.0, elevID,0,  pos,-2,  cmd, goto,-2
156.0, elevID,1,  pos,-2,  cmd, goto,-2
157.0, elevID,0,  pos,-2,  cmd, goto,-2
157.0, elevID,1,  pos,-2,  cmd, goto,-2
158.0, elevID,0,  pos,-2,  cmd, goto,-2
158.0, elevID,1,  pos,-2,  cmd, goto,-2
159.0, elevID,0,  pos,-2,  cmd, goto,-2
159.0, elevID,1,  pos,-2,  cmd, goto,-2
160.0, elevID,0,  pos,-2,  cmd, goto,-2
160.0, elevID,1,  pos,-2,  cmd, goto,-2
161.0, elevID,0,  pos,-2,  cmd, goto,-2
161.0, elevID,1,  pos,-2,  cmd, goto,-2
162.0, elevID,0,  pos,-2,  cmd, goto,-2
162.0, elevID,1,  pos,-2,  cmd, goto,-2
163.0, elevID,0,  pos,-2,  cmd, goto,-2
163.0, elevID,1,  pos,-2,  cmd, goto,-2
164.0, elevID,0,  pos,-2,  cmd, goto,-2
164.0, elevID,1,  pos,-2,  cmd, goto,-2
165.0, elevID,0,  pos,-2,  cmd, goto,-2
165.0, elevID,1,  pos,-2,  cmd, goto,-2
166.0, elevID,0,  pos,-2,  cmd, goto,-2
166.0, elevID,1,  pos,-2,  cmd, goto,-2
167.0, elevID,0,  pos,-2,  cmd, goto,-2
167.0, elevID,1,  pos,-2,  cmd, goto,-2
168.0, elevID,0,  pos,-2,  cmd, goto,-2
168.0, elevID,1,  pos,-2,  cmd, goto,-2
