**** The Simulator log: stage 9
0.0,OOP_Ex0_Elevator_Simulator
0.0,Simulated Building, ex0.simulator.Builging_A [-10,100]
0) ex0.simulator.Elevator_A, Elev_0, speed: 5.0, open/close: 2.0,  start/stop: 3.0
1) ex0.simulator.Elevator_A, Elev_1, speed: 10.0, open/close: 2.0,  start/stop: 3.0
2) ex0.simulator.Elevator_A, Elev_2, speed: 2.0, open/close: 2.0,  start/stop: 3.0
3) ex0.simulator.Elevator_A, Elev_3, speed: 12.0, open/close: 2.0,  start/stop: 3.0
4) ex0.simulator.Elevator_A, Elev_4, speed: 2.0, open/close: 2.0,  start/stop: 3.0
5) ex0.simulator.Elevator_A, Elev_5, speed: 3.0, open/close: 2.0,  start/stop: 3.0
6) ex0.simulator.Elevator_A, Elev_6, speed: 4.0, open/close: 2.0,  start/stop: 3.0
7) ex0.simulator.Elevator_A, Elev_7, speed: 4.0, open/close: 2.0,  start/stop: 3.0
8) ex0.simulator.Elevator_A, Elev_8, speed: 4.0, open/close: 2.0,  start/stop: 3.0
9) ex0.simulator.Elevator_A, Elev_9, speed: 4.0, open/close: 2.0,  start/stop: 3.0
0.0,Simulated Period starTime,0.0,  endTime,3600.0,  dt,1.0
0.0,Simulated  calls,Elevetor log, size: 1000
0.0,**** Simulation starts!! ****
87.0, elevID,1,  pos,-10,  cmd, goto,-10
87.0, elevID,3,  pos,-10,  cmd, goto,-10
87.0, elevID,5,  pos,-10,  cmd, goto,-10
87.0, elevID,6,  pos,-10,  cmd, goto,-10
87.0, elevID,7,  pos,-10,  cmd, goto,-10
87.0, elevID,8,  pos,-10,  cmd, goto,-10
87.0, elevID,9,  pos,-10,  cmd, goto,-10
88.0, elevID,0,  pos,-10,  cmd, goto,-10
88.0, elevID,1,  pos,-10,  cmd, goto,-10
88.0, elevID,3,  pos,-10,  cmd, goto,-10
88.0, elevID,5,  pos,-10,  cmd, goto,-10
88.0, elevID,6,  pos,-10,  cmd, goto,-10
88.0, elevID,7,  pos,-10,  cmd, goto,-10
88.0, elevID,8,  pos,-10,  cmd, goto,-10
88.0, elevID,9,  pos,-10,  cmd, goto,-10
89.0, elevID,0,  pos,-10,  cmd, goto,-10
89.0, elevID,1,  pos,-10,  cmd, goto,-10
89.0, elevID,3,  pos,-10,  cmd, goto,-10
89.0, elevID,5,  pos,-10,  cmd, goto,-10
89.0, elevID,6,  pos,-10,  cmd, goto,-10
89.0, elevID,7,  pos,-10,  cmd, goto,-10
89.0, elevID,8,  pos,-10,  cmd, goto,-10
89.0, elevID,9,  pos,-10,  cmd, goto,-10
90.0, elevID,0,  pos,-10,  cmd, goto,-10
90.0, elevID,1,  pos,-10,  cmd, goto,-10
90.0, elevID,3,  pos,-10,  cmd, goto,-10
90.0, elevID,5,  pos,-10,  cmd, goto,-10
90.0, elevID,6,  pos,-10,  cmd, goto,-10
90.0, elevID,7,  pos,-10,  cmd, goto,-10
90.0, elevID,8,  pos,-10,  cmd, goto,-10
90.0, elevID,9,  pos,-10,  cmd, goto,-10
91.0, elevID,0,  pos,-10,  cmd, goto,-10
91.0, elevID,1,  pos,-10,  cmd, goto,-10
91.0, elevID,3,  pos,-10,  cmd, goto,-10
91.0, elevID,5,  pos,-10,  cmd, goto,-10
91.0, elevID,6,  pos,-10,  cmd, goto,-10
91.0, elevID,7,  pos,-10,  cmd, goto,-10
91.0, elevID,8,  pos,-10,  cmd, goto,-10
91.0, elevID,9,  pos,-10,  cmd, goto,-10
92.0, elevID,0,  pos,-10,  cmd, goto,-10
92.0, elevID,1,  pos,-10,  cmd, goto,-10
92.0, elevID,3,  pos,-10,  cmd, goto,-10
92.0, elevID,5,  pos,-10,  cmd, goto,-10
92.0, elevID,6,  pos,-10,  cmd, goto,-10
92.0, elevID,7,  pos,-10,  cmd, goto,-10
92.0, elevID,8,  pos,-10,  cmd, goto,-10
92.0, elevID,9,  pos,-10,  cmd, goto,-10
93.0,Elevator call,92.10943365362255,-8,49,1,0, got allocated to elevator, 0
93.0, elevID,0,  pos,-10,  cmd, goto,-10
93.0, elevID,1,  pos,-10,  cmd, goto,-10
93.0, elevID,3,  pos,-10,  cmd, goto,-10
93.0, elevID,5,  pos,-10,  cmd, goto,-10
93.0, elevID,6,  pos,-10,  cmd, goto,-10
93.0, elevID,7,  pos,-10,  cmd, goto,-10
93.0, elevID,8,  pos,-10,  cmd, goto,-10
93.0, elevID,9,  pos,-10,  cmd, goto,-10
94.0, elevID,0,  pos,-10,  cmd, goto,-10
94.0, elevID,1,  pos,-10,  cmd, goto,-10
94.0, elevID,3,  pos,-10,  cmd, goto,-10
94.0, elevID,5,  pos,-10,  cmd, goto,-10
94.0, elevID,6,  pos,-10,  cmd, goto,-10
94.0, elevID,7,  pos,-10,  cmd, goto,-10
94.0, elevID,8,  pos,-10,  cmd, goto,-10
94.0, elevID,9,  pos,-10,  cmd, goto,-10
95.0, elevID,0,  pos,-10,  cmd, goto,-10
